Page ID,Page Title,Page Notes,Page URL,Page Color,Page Color Hex
page_001,Home,,,colorD,#ffffff
page_001_001,User Login,,,colorD,#ffffff
page_001_001_001,User Home,,,colorD,#ffffff
page_001_001_001_001,Advance Job Search,,,colorD,#ffffff
page_001_001_001_001_001,Job Search,,,colorD,#ffffff
page_001_001_002,Admin Home,,,colorD,#ffffff
page_001_001_002_001,Manage Users,,,colorD,#ffffff
page_001_001_002_002,Manage Employers,,,colorD,#ffffff
page_001_001_002_003,Settings,,,colorD,#ffffff
page_001_001_002_004,Locations,,,colorD,#ffffff
page_001_001_002_005,Statistics,,,colorD,#ffffff
page_001_001_002_006,Login report,,,colorD,#ffffff
page_001_002,User Register,,,colorD,#ffffff
page_001_003,Employer Login,,,colorD,#ffffff
page_001_003_001,Employer Home,,,colorD,#ffffff
page_001_003_001_001,Post Jobs,,,colorD,#ffffff
page_001_003_001_002,Manage Jobs & Responses,,,colorD,#ffffff
page_001_003_001_003,Resume Search Advance,,,colorD,#ffffff
page_001_003_001_003_001,Resume Search,,,colorD,#ffffff
page_001_004,Employer Register,,,colorD,#ffffff
